time.s,ENV.pressure.Pa,ENV.temperature.K,PHOT.O2_1.s-1,PHOT.O3_1.s-1,PHOT.O3_2.s-1
0.0,6152.049805,206.6374207,2.42e-17,6.609999999999999e-09,1.15e-05
150.0,6152.049805,206.6374207,2.3e-18,3.9299999999999995e-09,2.0399999999999997e-07
300.0,6152.049805,206.6374207,1.2e-18,2.1600000000000004e-09,1.11e-07
450.0,6152.049805,206.6374207,6.03e-19,1.13e-09,5.7999999999999997e-08
600.0,6152.049805,206.6374207,2.7e-19,5.48e-10,2.84e-08
750.0,6152.049805,206.6374207,1.09e-19,2.4500000000000003e-10,1.37e-08
900.0,6152.049805,206.6374207,4.0000000000000004e-20,9.96e-11,6.19e-09
1050.0,6152.049805,206.6374207,1.38e-20,3.71e-11,2.6e-09
1200.0,6152.049805,206.6374207,5.11e-21,1.2199999999999999e-11,1.0300000000000002e-09
1350.0,6152.049805,206.6374207,2.33e-21,3.79e-12,3.42e-10
1500.0,6152.049805,206.6374207,1.18e-21,1.27e-12,1.12e-10
1650.0,6152.049805,206.6374207,5.65e-22,5.19e-13,3.3700000000000004e-11
1800.0,6152.049805,206.6374207,1.9e-22,2.29e-13,8.65e-12
1950.0,6152.049805,206.6374207,2.65e-23,8.82e-14,2.5000000000000003e-12
2100.0,6152.049805,206.6374207,1.6300000000000002e-25,2e-14,7.499999999999999e-13
2250.0,6152.049805,206.6374207,4.18e-34,2.42e-15,2.6600000000000003e-13
2400.0,6152.049805,206.6374207,1.5899999999999998e-66,1.6599999999999999e-16,7.13e-14
2550.0,6152.049805,206.6374207,0.0,7.2e-19,1.35e-14
2700.0,6152.049805,206.6374207,0.0,1.06e-33,5.110000000000001e-23
2850.0,6152.049805,206.6374207,0.0,0.0,0.0
3000.0,6152.049805,206.6374207,0.0,0.0,0.0
3150.0,6152.049805,206.6374207,0.0,0.0,0.0
3300.0,6152.049805,206.6374207,0.0,0.0,0.0
3450.0,6152.049805,206.6374207,0.0,0.0,0.0
3600.0,6152.049805,206.6374207,0.0,0.0,0.0
3750.0,6152.049805,206.6374207,0.0,0.0,0.0
3900.0,6152.049805,206.6374207,0.0,0.0,0.0
4050.0,6152.049805,206.6374207,0.0,0.0,0.0
4200.0,6152.049805,206.6374207,0.0,0.0,0.0
4350.0,6152.049805,206.6374207,0.0,0.0,0.0
4500.0,6152.049805,206.6374207,0.0,0.0,0.0
4650.0,6152.049805,206.6374207,0.0,0.0,0.0
4800.0,6152.049805,206.6374207,0.0,0.0,0.0
4950.0,6152.049805,206.6374207,0.0,0.0,0.0
5100.0,6152.049805,206.6374207,0.0,0.0,0.0
5250.0,6152.049805,206.6374207,0.0,0.0,0.0
5400.0,6152.049805,206.6374207,0.0,0.0,0.0
5550.0,6152.049805,206.6374207,0.0,0.0,0.0
5700.0,6152.049805,206.6374207,0.0,0.0,0.0
5850.0,6152.049805,206.6374207,0.0,0.0,0.0
6000.0,6152.049805,206.6374207,0.0,0.0,0.0
6150.0,6152.049805,206.6374207,0.0,0.0,0.0
6300.0,6152.049805,206.6374207,0.0,0.0,0.0
6450.0,6152.049805,206.6374207,0.0,0.0,0.0
6600.0,6152.049805,206.6374207,0.0,0.0,0.0
6750.0,6152.049805,206.6374207,0.0,0.0,0.0
